id;firstname;lastname;title;sex;country;birthdate;deathdate;birthplace;deathplace
46;Jean;Brusselmans;\N;M;BE;1884-00-00;1953-00-00;Brussels;Dilbeek
47;Max;Buri;\N;M;CH;1868-00-00;1915-00-00;Burgdorf;Interlaken
48;David;Burlyuk;\N;M;UA;1882-00-00;1967-00-00;Kharkov;Southampton
49;Vladimir;Burlyuk;\N;M;UA;1887-00-00;1917-00-00;Chernyanka;Greece
50;Edward;Burne-Jones;\N;M;GB;1833-00-00;1898-00-00;Birmingham;London
51;Charles;Camoin;\N;M;FR;1879-00-00;1965-00-00;Marseilles;Paris
52;Heinrich;Campendonk;\N;M;DE;1889-00-00;1957-00-00;Krefeld;Amsterdam
53;Josef;Čapek;\N;M;CZ;1887-00-00;1945-00-00;Hronov;Lager Bergen Belsen
54;Arthur Beecher;Carles;\N;M;US;1882-00-00;1952-00-00;Philadelphia;Philadelphia
55;Carlo;Carrà;\N;M;IT;1881-00-00;1966-00-00;Alessandria;Milan
56;Eugène;Carrière;\N;M;FR;1849-00-00;1906-00-00;Gournay-sur-Marne;Paris
57;Felice;Casorati;\N;M;IT;1883-00-00;1963-00-00;Novara;Turin
58;Paul;Cézanne;\N;M;FR;1839-00-00;1906-00-00;Aix-en-Provence;Aix-en-Provence
59;Auguste-Elysée;Chabaud;\N;M;FR;1882-00-00;1955-00-00;Nîmes;Graveson
60;Marc;Chagall;\N;M;BY;1887-00-00;1985-00-00;Vitebsk;Saint-Paul
61;Serge;Charchoune;\N;M;RU;1888-00-00;1975-00-00;Buguruslan;Villeneuve-Saint-Georges
62;Vasily;Chekrygin;\N;M;RU;1897-00-00;1922-00-00;Zhizdra;Mamontovka (Moscow region)
63;M. K.;Čiurlionis;\N;M;LT;1875-00-00;1911-00-00;Lithuania;Marki
64;Charles;Conder;\N;M;GB;1868-00-00;1909-00-00;London;Virginia Water
65;Lovis;Corinth;\N;M;DE;1858-00-00;1925-00-00;Gvardeysk;Zandvoort
66;Gustave;Courbet;\N;M;FR;1819-00-00;1877-00-00;Ornans;La Tour-de-Peilz
67;Walter;Crane;\N;M;GB;1845-00-00;1915-00-00;Liverpool;Horsham
68;Henri Edmond;Cross;\N;M;FR;1856-00-00;1910-00-00;Douai;Saint-Clair, Var
69;Carl Otto;Czeschka;\N;M;AT;1878-00-00;1960-00-00;Vienna;Hamburg
70;Dezső;Czigány;\N;M;HU;1883-00-00;1937-00-00;Budapest;Budapest
71;Béla;Czóbel;\N;M;HU;1883-00-00;1975-00-00;Budapest;Budapest
72;Hippolyte;Daeye;\N;M;BE;1873-00-00;1952-00-00;Ghent;Ghent
73;Arthur Bowen;Davies;\N;M;US;1862-00-00;1928-00-00;Utica, New York;Florence
74;Stuart;Davis;\N;M;US;1892-00-00;1964-00-00;Philadelphia;New York
75;Per;Deberitz;\N;M;NO;1880-00-00;1945-10-14;Drøbak;Christiania (Oslo)
76;Giorgio de;Chirico;\N;M;IT;1888-00-00;1978-00-00;Vólos;Rome
77;Edgar;Degas;\N;M;FR;1834-00-00;1917-00-00;Paris;Paris
78;Henry de;Groux;\N;M;BE;1867-00-00;1930-00-00;Brussels;Marseilles
79;Robert;Delaunay;\N;M;FR;1885-00-00;1941-00-00;Paris;Montpellier
80;Sonia;Delaunay;\N;F;FR;1885-00-00;1979-00-00;Gradizhsk;Paris
81;Jean;Delville;\N;M;BE;1867-00-00;1953-00-00;Louvain;Forest
82;Cristophe Karel Henri de;Nerée tot Babberich;\N;M;NL;1880-00-00;1909-00-00;Zevenaar;Todtmoos
83;Maurice;Denis;\N;M;FR;1870-00-00;1943-00-00;Granville, Manche;Saint-Germain-en-Laye
84;André;Derain;\N;M;FR;1880-00-00;1954-00-00;Chatou;Garches
85;Gustave de;Smet;\N;M;BE;1877-00-00;1943-00-00;Ghent;Deurle
86;Charles;Despiau;\N;M;FR;1874-00-00;1946-00-00;Mont-de-Marsan;Paris
87;Georges-Olivier;Desvallières;\N;M;FR;1861-00-00;1950-00-00;Paris;Paris
88;Maurice de;Vlaminck;\N;M;FR;1876-00-00;1958-00-00;Paris;Rueil-la-Gadelière
89;Karl Edvard;Diriks;\N;M;NO;1855-00-00;1930-00-00;Christiania (Oslo);Christiania (Oslo)
90;Mstislav;Dobuzhinsky;\N;M;RU;1875-00-00;1957-00-00;Velikiy Novgorod;New York
91;Henri;Doucet;\N;M;FR;1883-00-00;1915-00-00;Pleumartin;Hooge
92;Arthur Garfield;Dove;\N;M;US;1880-00-00;1946-00-00;Canandaigua;Long Island
93;Malcolm;Drummond;\N;M;GB;1880-00-00;1945-00-00;Boyn Hill;Moulsford
94;Guy Pène;Du Bois;\N;M;US;1884-00-00;1958-00-00;Brooklyn;Boston
95;Marcel;Duchamp;\N;M;FR;1887-00-00;1968-00-00;Blainville-Crevon;Neuilly-sur-Seine
96;Raymond;Duchamp-Villon;\N;M;FR;1876-00-00;1918-00-00;Damville;Cannes
97;Raoul;Dufy;\N;M;FR;1877-00-00;1953-00-00;Le Havre;Forcalquier
98;André;Dunoyer de Segonzac;\N;M;FR;1884-00-00;1974-00-00;Boussy-Saint-Antoine;Paris
99;Leander;Engström;\N;M;SE;1886-00-00;1927-00-00;Ytterhogdal;Stockholm
100;James;Ensor;\N;M;BE;1860-00-00;1949-00-00;Ostend;Ostend
101;Jacob;Epstein;\N;M;GB;1880-00-00;1959-00-00;New York;London
102;Adolf;Erbslöh;\N;M;DE;1881-00-00;1947-00-00;New York;Icking
103;Thorvald;Erichsen;\N;M;NO;1868-00-00;1939-00-00;Trondheim;Christiania (Oslo)
104;Max;Ernst;\N;M;DE;1891-00-00;1976-00-00;Brühl (Rhineland);Paris
105;Frederick;Etchells;\N;M;GB;1886-00-00;1973-00-00;Newcastle upon Tyne;Folkestone
106;Henri;Evenepoel;\N;M;BE;1872-00-00;1899-00-00;Nice;Paris
107;Aleksandra Aleksandrovna;Exster;\N;F;RU;1882-00-00;1949-00-00;Białystok;Fontenay-aux-Roses
108;Anton;Faistauer;\N;M;AT;1887-00-00;1930-00-00;Sankt Martin bei Lofer;Vienna
109;Xenia;Boguslawskaja;\N;F;\N;1892-01-24;1971-05-05;Saint Petersburg;Paris
110;Marie;Vassilieff;\N;F;RU;1884-00-00;1957-00-00;Smolensk;Nogent-sur-Marne
111;Vasiliǐ;Kamenskiǐ;\N;M;RU;1884-00-00;1961-00-00;Perm;Moscow
112;Anna Michajlovna;Kirillova;\N;F;RU;\N;\N;\N;\N
113;Ivan;Klyun;\N;M;RU;1873-00-00;1943-00-00;Bolshie Gorki;Moscow
114;Vera Efimovna;Pestel';\N;F;RU;1888-00-00;1952-00-00;Moscow;Moscow
115;Lyubov';Popova;\N;F;RU;1889-00-00;1924-00-00;Ivanovskoye;Moscow
116;Jean;Pougny;\N;M;RU;1892-00-00;1956-00-00;Repino;Paris
117;Ol'ga;Rozanova;\N;F;RU;1886-00-00;1918-00-00;Melenki;Moscow
118;Vladimir;Tatlin;\N;M;UA;1885-00-00;1953-00-00;Kharkov;Novodevichye
119;Nadezhda;Udal'tsova;\N;F;RU;1886-00-00;1961-00-00;Orel;Moscow
120;Mikhail Ivanovich;Menkov;\N;M;RU;1885-00-00;1926-00-00;Vilnius;Yalta
121;Robert;Fa'lk;\N;M;RU;1886-00-00;1958-00-00;Moscow;Moscow
122;Bedřich;Feigl;\N;M;CZ;1884-00-00;1965-00-00;Prague;London
123;Lyonel;Feininger;\N;M;US;1871-00-00;1956-00-00;New York;New York
124;Emil;Filla;\N;M;CZ;1882-00-00;1953-00-00;Chropyně;Prague
125;Pavel;Filonov;\N;M;RU;1883-00-00;1941-00-00;Moscow;Saint Petersburg
126;Bernhard Dorotheus;Folkestad;\N;M;NO;1879-00-00;1933-00-00;London;Christiania (Oslo)
127;Artur;Fonvizin;\N;M;RU;1883-00-00;1973-00-00;Riga;Moscow
128;Othon;Friesz;\N;M;FR;1879-00-00;1949-00-00;Le Havre;Paris
129;Roger;Fry;\N;M;GB;1866-00-00;1934-00-00;London;London
130;Akseli;Gallen-Kallela;\N;M;FI;1865-00-00;1931-00-00;Pori;Stockholm
131;Henri;Gaudier-Brzeska;\N;M;FR;1891-00-00;1915-00-00;Saint-Jean-de-Braye;Neuville-Saint-Vaast
132;Paul;Gauguin;\N;M;FR;1848-00-00;1903-00-00;Paris;Atuona
133;Aleksandr Fedorovich;Gaush;\N;M;RU;1873-00-00;1947-00-00;Saint Petersburg;Simferopol
134;Mark;Gertler;\N;M;GB;1891-00-00;1939-00-00;Spitalfields;London
135;Leo;Gestel;\N;M;NL;1881-00-00;1941-00-00;Woerden;Hilversum
136;Augusto;Giacometti;\N;M;CH;1877-00-00;1947-00-00;Stampa;Zurich
137;Giovanni;Giacometti;\N;M;CH;1868-00-00;1933-00-00;Stampa;Glion
138;Harold;Gilman;\N;M;GB;1876-00-00;1919-00-00;Rode;London
139;Charles;Ginner;\N;M;GB;1878-00-00;1952-00-00;Cannes;London
140;Pierre Paul;Girieud;\N;M;FR;1876-00-00;1948-00-00;Paris;Paris
141;William James;Glackens;\N;M;US;1870-00-00;1938-00-00;Philadelphia;Westport, Connecticut
142;Albert;Gleizes;\N;M;FR;1881-00-00;1953-00-00;Paris;Avignon
143;Natalia;Goncharova;\N;F;RU;1881-00-00;1962-00-00;Tula;Paris
144;Spencer;Gore;\N;M;GB;1878-00-00;1914-00-00;Epsom;Surrey
145;Duncan;Grant;\N;M;GB;1885-00-00;1978-00-00;Aviemore;Aldermaston
146;Juan;Gris;\N;M;ES;1887-00-00;1927-00-00;Madrid;Boulogne-Billancourt
147;Alexis;Gritchenko;\N;M;RU;1883-00-00;1977-00-00;Krolevets;Vence
148;Marcel;Gromaire;\N;M;FR;1892-00-00;1971-00-00;Noyelles-sur-Sambre;Paris
149;Isaac;Grünewald;\N;M;SE;1888-00-00;1946-00-00;Stockholm;Norway
150;Charles-François-Prosper;Guérin;\N;M;FR;1875-00-00;1939-00-00;Sens;Paris
151;Yelena;Guro;\N;F;RU;1877-00-00;1913-00-00;Saint Petersburg;Uusikirkko
152;Otto;Gutfreund;\N;M;CZ;1889-00-00;1927-00-00;Dvůr Králové;Prague
153;Hermann;Haller;\N;M;CH;1880-00-00;1950-00-00;Bern;Zurich
154;Marsden;Hartley;\N;M;US;1877-00-00;1943-00-00;Lewiston, Maine;Ellsworth, Maine
155;Ferenc;Hatvany;\N;M;HU;1881-00-00;1958-00-00;Budapest;Lausanne
156;Henri;Hayden;\N;M;PL;1883-00-00;1970-00-00;Warsaw;Paris
157;Erich;Heckel;\N;M;DE;1883-00-00;1970-00-00;Döbeln;Radolfzell
158;Jean;Heiberg;\N;M;NO;1884-00-00;1976-00-00;Christiania (Oslo);Christiania (Oslo)
159;Walter;Helbig;\N;M;DE;1878-00-00;1968-00-00;Falkenstein, Saxony;Ascona
160;Robert;Henri;\N;M;US;1865-00-00;1929-00-00;Cincinnati;New York
161;Auguste;Herbin;\N;M;FR;1882-00-00;1960-00-00;Quiévy;Paris
162;Jules;Hervé;\N;M;FR;1887-00-00;1981-00-00;Langres;Langres
163;Sigrid;Hjertén;\N;F;SE;1885-00-00;1948-00-00;Sundsvall;Stockholm
164;Ferdinand;Hodler;\N;M;CH;1853-00-00;1918-00-00;Bern;Geneva
165;Adolf;Hölzel;\N;M;DE;1853-00-00;1934-00-00;Olomouc;Stuttgart
166;Karl;Hofer;\N;M;DE;1878-00-00;1955-00-00;Karlsruhe;Berlin
167;Edward;Hopper;\N;M;US;1882-00-00;1967-00-00;Nyack;New York
168;Max;Horb;\N;M;CZ;1882-00-00;1907-00-00;Mladá Boleslav;Prague
169;Hermann;Huber;\N;M;CH;1888-00-00;1967-12-09;Zurich;Hirzel
170;James Dickson;Innes;\N;M;GB;1887-00-00;1914-00-00;Llanelli;Swanley
171;Isaac;Israëls;\N;M;NL;1865-00-00;1934-00-00;Amsterdam;Hague, The
172;Richard;Janthur;\N;M;DE;1883-00-00;1956-03-22;Zerbst;Berlin
173;Alexei;Jawlensky;\N;M;RU;1864-00-00;1941-00-00;Torzhok;Wiesbaden
174;\N;Le Corbusier;\N;M;CH;1887-00-00;1965-00-00;La Chaux-de-Fonds;Roquebrune
175;Augustus;John;\N;M;GB;1878-00-00;1961-00-00;Tenby;Fordingbridge
176;Gwen;John;\N;F;GB;1876-00-00;1939-00-00;Haverfordwest;Dieppe
177;Einar;Jolin;\N;M;SE;1890-00-00;1976-08-29;Stockholm;Stockholm
178;Ernst;Josephson;\N;M;SE;1851-00-00;1906-00-00;Stockholm;Stockholm
179;Alexander;Kanoldt;\N;M;DE;1881-00-00;1939-00-00;Karlsruhe;Berlin
180;Arne;Kavli;\N;M;NO;1878-00-00;1970-00-00;Bergen, North Holland;Christiania (Oslo)
181;Károly;Kernstok;\N;M;HU;1873-00-00;1940-00-00;Budapest;Budapest
182;Fernand;Khnopff;\N;M;BE;1858-00-00;1921-00-00;Dendermonde;Brussels
183;Ernst Ludwig;Kirchner;\N;M;DE;1880-00-00;1938-00-00;Aschaffenburg;Frauenkirch
184;Moïse;Kisling;\N;M;FR;1891-00-00;1953-00-00;Cracow;Sanary-sur-Mer
185;Paul;Klee;\N;M;CH;1879-00-00;1940-00-00;Münchenbuchsee;Muralto
186;Cesar;Klein;\N;M;DE;1876-00-00;1954-00-00;Hamburg;Pansdorf
187;Gustav;Klimt;\N;M;AT;1862-00-00;1918-00-00;Vienna;Vienna
188;Max;Klinger;\N;M;DE;1857-00-00;1920-00-00;Leipzig;Großjena
189;Moissey;Kogan;\N;M;RU;1879-00-00;1943-00-00;Orhei;Auschwitz
190;Oskar;Kokoschka;\N;M;AT;1886-00-00;1980-00-00;Pöchlarn;Montreux
191;Georg;Kolbe;\N;M;DE;1877-00-00;1947-00-00;Waldheim;Berlin
192;Käthe;Kollwitz;\N;F;DE;1867-00-00;1945-00-00;Königsberg;Moritzburg
193;Pyotr;Konchalovsky;\N;M;RU;1876-00-00;1956-00-00;Slavyansk;Moscow
194;Nikolay;Krymov;\N;M;RU;1884-00-00;1958-00-00;Moscow;Moscow
195;Per;Krohg;\N;M;NO;1889-00-00;1965-00-00;Åsgårdstrand;Christiania (Oslo)
196;Alfred;Kubin;\N;M;AT;1877-00-00;1959-00-00;Litoměřice;Wernstein am Inn
197;Othone;Coubine;\N;M;CZ;1883-00-00;1969-00-00;Boskovice;Marseilles
198;Bohumil;Kubišta;\N;M;CZ;1884-00-00;1918-00-00;Vlčkovice;Prague
199;Walt;Kuhn;\N;M;US;1880-00-00;1949-00-00;New York;New York
200;Reinhold;Kündig;\N;M;CH;1888-00-00;1984-00-00;Uster;Thalwil
201;František;Kupka;\N;M;CZ;1871-00-00;1957-00-00;Opočno;Puteaux
202;Aleksandr;Kuprin;\N;M;RU;1880-00-00;1960-00-00;Borisoglebsk;Moscow
203;Pavel;Kuznetsov;\N;M;RU;1878-00-00;1968-00-00;Saratov;Moscow
204;Gaston;Lachaise;\N;M;FR;1882-00-00;1935-00-00;Paris;New York
205;Eugène;Laermans;\N;M;BE;1864-00-00;1940-00-00;Brussels;Brussels
206;Roger de;La Fresnaye;\N;M;FR;1885-00-00;1925-00-00;Le Mans;Grasse
207;Henry;Lamb;\N;M;GB;1883-00-00;1960-00-00;Adelaide;London
208;Pierre;Laprade;\N;M;FR;1875-00-00;1931-00-00;Narbonne;Fontenay-aux-Roses
209;Mikhail;Larionov;\N;M;RU;1881-00-00;1964-00-00;Tiraspol;Fontenay-aux-Roses
210;Marie;Laurencin;\N;F;FR;1885-00-00;1956-00-00;Paris;Paris
211;Henri;Laurens;\N;M;FR;1885-00-00;1954-00-00;Paris;Paris
212;Ernest;Lawson;\N;M;US;1873-00-00;1939-00-00;\N;\N
213;Ernest;Lawson;\N;M;US;1873-00-00;1939-00-00;Halifax;Miami Beach
214;Mikhail Vasilevich;Le-Dantyu;\N;M;RU;1891-00-00;1917-00-00;Tver';\N
215;Henri Victor Gabriel;Le Fauconnier;\N;M;FR;1881-00-00;1946-00-00;Hesdin;Paris
216;Fernand;Léger;\N;M;FR;1881-00-00;1955-00-00;Argentan;Gif-sur-Yvette
217;Wilhelm;Lehmbruck;\N;M;DE;1881-00-00;1919-00-00;Duisburg;Berlin
218;Wilhelm;Leibl;\N;M;DE;1844-00-00;1900-00-00;Cologne;Würzburg
219;Georges;Lemmen;\N;M;BE;1865-00-00;1916-00-00;Brussels;Brussels
220;Jean Julien;Lemordant;\N;M;FR;1878-00-00;1968-00-00;Saint-Malo;Paris
221;Aristarkh;Lentulov;\N;M;RU;1882-00-00;1943-00-00;Nizhny Lomov;Moscow
222;Rudolf;Levy;\N;M;DE;1875-00-00;1943-00-00;Stettin;\N
223;Wyndham;Lewis;\N;M;GB;1882-00-00;1957-00-00;Amherst;London
224;André;Lhote;\N;M;FR;1885-00-00;1962-00-00;Bordeaux;Paris
225;Max;Liebermann;\N;M;DE;1847-00-00;1935-00-00;Berlin;Berlin
226;Jacques;Lipchitz;\N;M;FR;1891-00-00;1973-00-00;Lithuania;Capri
227;Bertold;Löffler;\N;M;AT;1874-00-00;1960-00-00;Liberec;Vienna
228;Georgy;Lukomsky;\N;M;RU;1884-00-00;1952-00-00;Kaluga;Nice
229;George Benjamin;Luks;\N;M;US;1867-00-00;1933-00-00;Williamsport;New York
230;Henrik Louis;Lund;\N;M;NO;1879-00-00;1935-00-00;Bergen;Christiania (Oslo)
231;Oscar;Lüthy;\N;M;CH;1882-00-00;1945-00-00;Bern;Zurich
232;Stanton;Macdonald-Wright;\N;M;US;1890-00-00;1973-00-00;Charlottesville;Pacific Palisades
233;August;Macke;\N;M;DE;1887-00-00;1914-00-00;Meschede;Perthes-lès-Hurlus
234;Helmuth;Macke;\N;M;DE;1891-00-00;1936-00-00;Krefeld;Hemmenhofen
235;Aristide;Maillol;\N;M;FR;1861-00-00;1944-00-00;Banyuls-sur-Mer;Perpignan
236;Edouard;Manet;\N;M;FR;1832-00-00;1883-00-00;Paris;Paris
237;Henri Charles;Manguin;\N;M;FR;1874-00-00;1949-00-00;Paris;Saint-Tropez
238;\N;Manolo;\N;M;ES;1872-00-00;1945-00-00;Barcelona;Caldas de Montbuy
239;Franz;Marc;\N;M;DE;1880-00-00;1916-00-00;Munich;Verdun-sur-Garonne
240;Jean;Marchand;\N;M;FR;1882-00-00;1941-00-00;Paris;Paris
241;Gerhard;Marcks;\N;M;DE;1889-00-00;1981-00-00;Berlin;Cologne
242;Louis;Marcoussis;\N;M;FR;1883-00-00;1941-00-00;Warsaw;Cusset
243;Ödön;Márffy;\N;M;HU;1878-00-00;1959-00-00;Budapest;Budapest
244;John;Marin;\N;M;US;1872-00-00;1953-00-00;Rutherford;Addison, Maine
245;Albert;Marquet;\N;M;FR;1875-00-00;1947-00-00;Bordeaux;Paris
246;Alberto;Martini;\N;M;IT;1876-00-00;1954-00-00;Oderzo;Milan
247;Il'ya;Mashkov;\N;M;RU;1881-00-00;1944-00-00;Mikhailovskaya-on-Don;Moscow
248;Henri;Matisse;\N;M;FR;1869-00-00;1954-00-00;Le Cateau-Cambrésis;Nice
249;Aleksandr;Matveyev;\N;M;RU;1878-00-00;1960-00-00;Saratov;Moscow
250;Mikhail;Matyushin;\N;M;RU;1861-00-00;1934-00-00;Nizhniy Novgorod;Leningradskaya Oblast'
251;Alfred Henry;Maurer;\N;M;US;1868-00-00;1932-00-00;New York;New York
252;Ludwig;Meidner;\N;M;DE;1884-00-00;1966-00-00;Bernstadt;Darmstadt
253;Xavier;Mellery;\N;M;BE;1845-00-00;1921-00-00;Laken;Brussels
254;Moritz;Melzer;\N;M;DE;1877-00-00;1966-00-00;Bohemia;Berlin
255;Jean;Metzinger;\N;M;FR;1883-00-00;1956-00-00;Nantes;Paris
256;Constantin;Meunier;\N;M;BE;1831-00-00;1905-00-00;Etterbeek;Ixelles
257;Nikolay;Milioti;\N;M;RU;1874-00-00;1962-00-00;Moscow;Paris
258;Vasily;Milioti;\N;M;RU;1875-00-00;1943-00-00;Moscow;Moscow
259;Kenneth Hayes;Miller;\N;M;US;1876-00-00;1952-00-00;Oneida;New York
260;Carl;Milles;\N;M;SE;1875-00-00;1955-00-00;Lagan;Lidingö
261;George;Minne;\N;M;BE;1866-00-00;1941-00-00;Ghent;Sint-Martens-Latem
262;Piotr;Miturich;\N;M;RU;1887-00-00;1956-00-00;Saint Petersburg;Moscow
263;Paula;Modersohn-Becker;\N;F;DE;1876-00-00;1907-00-00;Dresden;Worpswede
264;Amedeo;Modigliani;\N;M;IT;1884-00-00;1920-00-00;Livorno;Paris
265;Aleksandr Pavlovič;Mogilevskij;\N;M;RU;1885-00-00;1980-00-00;Mariupol';Moscow
266;Louis René;Moilliet;\N;M;CH;1880-00-00;1962-00-00;Bern;Vevey
267;Oskar;Moll;\N;M;DE;1875-00-00;1947-00-00;Brzeg;Berlin
268;Claude;Monet;\N;M;FR;1840-00-00;1926-00-00;Paris;Giverny
269;Adolphe;Monticelli;\N;M;FR;1824-00-00;1886-00-00;Marseilles;Marseilles
270;Giorgio;Morandi;\N;M;IT;1890-00-00;1964-00-00;Bologna;Bologna
271;Gustave;Moreau;\N;M;FR;1826-00-00;1898-00-00;Paris;Paris
272;Wilhelm;Morgner;\N;M;DE;1891-00-00;1917-00-00;Soest;Langemark
273;Alexsey;Morgunov;\N;M;RU;1884-00-00;1935-00-00;Moscow;Moscow
274;Koloman;Moser;\N;M;AT;1868-00-00;1918-00-00;Vienna;Vienna
275;Otto;Mueller;\N;M;DE;1874-00-00;1930-00-00;Lubawka;Oborniki Śląskie
276;Edvard;Munch;\N;M;NO;1863-00-00;1944-00-00;Løten;Christiania (Oslo)
277;Gabriele;Münter;\N;F;DE;1877-00-00;1962-00-00;Berlin;Murnau
278;Elie;Nadelman;\N;M;PL;1882-00-00;1946-00-00;Warsaw;New York
279;John Northcote;Nash;\N;M;GB;1893-00-00;1977-00-00;London;Colchester
280;Paul;Nash;\N;M;GB;1889-00-00;1946-00-00;London;Dorset
281;Heinrich;Nauen;\N;M;DE;1880-00-00;1941-00-00;Krefeld;Kalkar
282;Christopher;Nevinson;\N;M;GB;1889-00-00;1946-00-00;London;London
283;Jean;Niestlé;\N;M;CH;1884-00-00;1942-00-00;Neuchatel;Antony
284;Emil;Nolde;\N;M;DE;1867-00-00;1956-00-00;Burkal;Seebüll
285;Isidre;Nonell;\N;M;ES;1873-00-00;1911-00-00;Barcelona;Barcelona
286;Willi;Nowak;\N;M;CZ;1886-00-00;1977-00-00;Mníšek pod Brdy;Prague
287;Hermann;Obrist;\N;M;CH;1862-00-00;1927-00-00;Kilchberg;Munich
288;Walter;Ophey;\N;M;DE;1882-00-00;1930-00-00;Eupen;Dusseldorf
289;Dezső;Orbán;\N;M;HU;1884-00-00;1986-10-08;Győr;Sydney
290;Anna Petrovna;Ostroumova-Lebedeva;\N;F;RU;1871-00-00;1955-00-00;Saint Petersburg;Saint Petersburg
291;Amédée;Ozenfant;\N;M;FR;1886-00-00;1966-00-00;Saint-Quentin, Aisne;Cannes
292;Bernhard;Pankok;\N;M;DE;1872-00-00;1943-00-00;Münster;Baierbrunn
293;Jules;Pascin;\N;M;BG;1885-00-00;1930-00-00;Vidin;Paris
294;Georg Vilhelm;Pauli;\N;M;SE;1855-00-00;1935-00-00;Jönköping;Stockholm
295;Max;Pechstein;\N;M;DE;1881-00-00;1955-00-00;Zwickau;Berlin
296;Giuseppe;Pellizza da Volpedo;\N;M;IT;1868-00-00;1907-00-00;Volpedo;Volpedo
297;Constant;Permeke;\N;M;BE;1886-00-00;1952-00-00;Antwerp;Ostend
